
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-591.7455,-577.0698,-572.3275,-570.5714,-569.0453,-568.3481,-567.3569,-567.1182,-566.9081,-566.4402,-566.2969,-565.9063,-565.4861,-565.4861,-565.1137,-564.9991,-565.0087,-564.8082,-565.0087,-564.388,-564.388,-564.0729,-563.9305,-563.9974,-563.6918,-563.6536,-563.9201,-563.625,-563.5486,-563.434,-563.3099,mV
	3.0,"BLANK CONTINUITY",-656.722,-642.4082,-637.6381,-635.8438,-634.2318,-633.5824,-632.5616,-632.2083,-632.0937,-631.5694,-631.5599,-630.9583,-630.8054,-630.4235,-630.347,-630.0224,-630.0511,-630.0034,-630.0224,-629.3412,-629.3412,-629.0356,-629.0366,-629.1216,-628.9601,-628.731,-629.1503,-628.5877,-628.6641,-628.4731,-628.4254,mV
	3.1,"BLANK @20MA CONTINUITY",-899.9311,-888.5862,-885.2935,-884.0807,-882.7171,-882.5452,-881.658,-881.5626,-881.257,-881.1137,-880.875,-880.5599,-880.3411,-880.4175,-880.1224,-879.6927,-879.9314,-879.8264,-879.9791,-879.3871,-879.3489,-879.282,-879.1961,-879.282,-879.0625,-878.9765,-879.0815,-878.7769,-878.9774,-878.6718,-878.901,mV
	4.0,"RBLANK CONTINUITY",-692.7916,-680.5004,-676.0255,-674.3275,-672.9342,-672.4855,-671.5601,-671.1781,-671.0349,-670.4915,-670.4819,-670.0427,-669.7285,-669.5852,-669.4229,-669.2032,-669.2032,-668.7354,-668.9645,-668.5062,-668.6685,-668.2101,-668.3534,-668.0869,-668.0487,-667.9819,-668.191,-667.8959,-667.8672,-667.6094,-667.5999,mV
	6.0,"EN CONTINUITY",-700.5774,-688.2393,-684.1655,-682.3329,-681.0638,-680.339,-679.4987,-679.47,-678.9734,-678.7347,-678.4396,-678.2773,-677.7912,-677.8189,-677.371,-677.1809,-677.2191,-677.2191,-677.2859,-676.8372,-676.5889,-676.5984,-676.4361,-676.4456,-676.226,-676.2928,-676.2642,-675.9968,-675.9204,-675.9586,-676.0255,mV
	7.0,"FB CONTINUITY",-795.5306,-697.533,-693.1067,-691.3314,-690.0719,-689.1943,-688.5162,-688.0865,-687.886,-687.5241,-687.3235,-686.8174,-686.6742,-686.3687,-686.2358,-686.2167,-686.1022,-685.6915,-685.8348,-685.4528,-685.7488,-685.1472,-685.3859,-685.3,-685.2236,-685.1664,-685.4528,-685.3,-685.0135,-685.0804,-684.8521,mV
	8.0,"DRVCC CONTINUITY",-569.7988,-555.3808,-550.1706,-547.8138,-546.3823,-545.371,-544.5211,-544.226,-543.7676,-543.463,-543.0237,-542.699,-542.2407,-542.1747,-541.7927,-541.64,-541.5636,-541.3248,-541.3153,-540.8674,-540.791,-540.5714,-540.4186,-540.4473,-540.1807,-540.1807,-540.4186,-540.114,-539.837,-539.7892,-539.6842,mV
	9.0,"OUT CONTINUITY",-533.3958,-515.4943,-508.6625,-505.9046,-503.4627,-502.5555,-501.3628,-500.7908,-500.3419,-499.6544,-499.769,-498.8914,-498.5476,-497.9556,-497.6795,-497.1266,-497.1266,-497.2125,-497.3271,-496.2099,-496.4772,-496.1526,-495.5996,-495.8288,-495.8288,-495.2272,-495.9052,-495.4087,-494.9121,-495.189,-495.0648,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",4.972922,4.861099,4.856888,4.929809,4.918883,4.947906,4.854494,4.8215,5.027032,4.832824,4.954295,4.894651,4.969333,4.873127,4.965576,4.946395,4.946047,4.947593,4.923291,4.906493,4.95006,4.936677,4.854807,5.029285,4.974349,4.910234,5.010892,4.95435,4.968927,4.928413,4.931586,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.182425,5.181512,5.180902,5.180634,5.180328,5.180634,5.180367,5.180443,5.180367,5.180634,5.180328,5.180367,5.180328,5.180367,5.180252,5.180328,5.180175,5.180328,5.180367,5.179984,5.180634,5.180367,5.179984,5.180328,5.179832,5.180367,5.179679,5.180328,5.179984,5.180328,5.179984,V
