
Test #,Description,Device #1,Device #2,Device #3,Device #4,Device #5,Device #6,Device #7,Device #8,Device #9,Device #10,Device #11,Device #12,Device #13,Device #14,Device #15,Device #16,Device #17,Device #18,Device #19,Device #20,Device #21,Device #22,Device #23,Device #24,Device #25,Device #26,Device #27,Device #28,Device #29,Device #30,Device #31,Units
	1.0,"VIN CONTINUITY",-592.0893,-578.6541,-574.9899,-573.2337,-572.0124,-571.4872,-570.982,-570.409,-570.2189,-569.8942,-569.4168,-569.1121,-568.6633,-568.5392,-568.4341,-568.1286,-568.7779,-568.1954,-567.8898,-567.7371,-571.936,-568.5201,-567.9662,-567.0513,-567.29,-567.3569,-567.0513,-566.0687,-566.8603,-566.8317,-566.6025,mV
	3.0,"BLANK CONTINUITY",-657.4382,-644.6895,-640.8821,-638.9254,-637.7527,-637.0747,-636.5878,-636.1389,-635.7579,-635.3759,-635.1953,-634.6988,-634.0885,-634.3082,-633.8212,-633.783,-634.1936,-633.5538,-633.4774,-633.4011,-637.0461,-633.8403,-633.4774,-632.7717,-632.7908,-632.8663,-632.6284,-631.4835,-632.3992,-632.447,-632.0555,mV
	3.1,"BLANK @20MA CONTINUITY",-895.5317,-886.1425,-883.5947,-882.3733,-881.3429,-881.0182,-880.5026,-880.1224,-880.1129,-879.7309,-879.5112,-879.368,-878.882,-879.1961,-878.7578,-878.4713,-878.9774,-878.5095,-878.2994,-878.2899,-881.066,-878.7482,-878.2899,-877.9747,-878.0607,-877.8601,-877.8315,-877.144,-877.5259,-877.6691,-877.2872,mV
	4.0,"RBLANK CONTINUITY",-693.6874,-682.4094,-678.8112,-677.2859,-676.226,-675.3761,-675.081,-674.6991,-674.3179,-674.1556,-673.7841,-673.4785,-673.1061,-673.173,-672.7051,-672.4855,-672.8674,-672.4759,-672.2563,-672.3326,-675.2242,-672.7051,-672.3422,-671.7129,-671.7129,-671.8743,-671.4168,-670.5679,-671.264,-671.1113,-671.1113,mV
	6.0,"EN CONTINUITY",-705.8831,-694.6032,-691.446,-689.8045,-688.373,-688.0483,-687.4381,-686.913,-686.8174,-686.3027,-686.0735,-685.9207,-685.3096,-685.4528,-685.2905,-684.9094,-685.4528,-684.9954,-684.6134,-684.7089,-687.5909,-685.2236,-684.6802,-684.1655,-684.3087,-684.1177,-684.0891,-683.287,-683.6976,-683.8981,-683.392,mV
	7.0,"FB CONTINUITY",-709.5759,-699.0122,-695.5199,-693.9357,-692.9348,-692.3141,-691.9417,-691.4452,-691.1023,-691.0927,-690.4625,-690.1101,-689.8904,-689.7004,-689.4999,-689.3948,-689.4999,-689.137,-689.1274,-689.051,-691.5598,-689.4999,-689.1943,-688.6595,-688.5259,-688.5449,-688.2012,-687.5623,-688.1916,-688.0483,-688.1343,mV
	8.0,"DRVCC CONTINUITY",-570.8769,-557.6517,-553.4242,-551.5925,-550.1897,-549.4171,-548.9588,-548.1853,-547.9274,-547.6228,-547.0984,-546.8311,-546.3641,-546.3346,-546.0681,-545.6765,-546.0681,-545.6193,-545.371,-545.3328,-548.424,-545.9821,-545.266,-544.502,-544.6835,-544.6835,-544.4543,-543.6244,-544.1496,-544.0828,-543.93,mV
	9.0,"OUT CONTINUITY",-535.3707,-518.8529,-513.0038,-510.3327,-508.5861,-507.8613,-507.2033,-506.2006,-505.9427,-505.5322,-504.9983,-504.5495,-503.7014,-503.7778,-503.1571,-502.9279,-503.606,-502.8229,-502.2786,-502.5651,-506.2197,-503.1285,-502.3932,-501.6397,-501.6015,-501.7543,-501.296,-499.7308,-500.6476,-500.552,-500.4852,mV
	10.0,"IVIN; SHUTDOWN @VIN=7.5V",4.845556,4.84818,4.812426,4.783551,4.897816,4.866524,4.811264,4.858841,4.877709,4.842417,4.8835,4.806913,4.764875,4.844386,4.788343,4.872864,4.835356,4.810813,4.937274,4.857882,4.869273,4.810452,4.936494,4.866384,4.743548,4.775317,4.841848,4.817364,4.927794,4.92196,4.858515,uA
	15.0," DRVCC VOLTAGE @ VIN=7.5V",5.258166,5.257593,5.257593,5.256944,5.25725,5.25725,5.25725,5.25725,5.257593,5.256944,5.256791,5.257212,5.256791,5.256791,5.257212,5.256944,5.256944,5.256715,5.256944,5.256791,5.256791,5.257212,5.256791,5.256715,5.256944,5.256677,5.257135,5.257135,5.256944,5.257135,5.25725,V
	15.1,"IVIN; PRE-STRESS @VIN=15V",252.0329,253.4441,254.2967,254.9805,254.6585,255.1326,255.4199,255.1712,255.6625,255.7104,255.7423,255.9361,255.8816,255.6758,255.9498,255.5344,255.7402,256.1114,255.8029,255.8769,255.7531,256.0192,255.8078,255.9314,255.9752,256.0571,255.9652,255.9049,255.9384,256.1901,256.2716,uA
	18.0,"IVIN ;ABS MAX @VIN=28V",271.3799,272.867,272.2924,271.6317,272.2321,271.6978,270.65,274.7339,273.7451,273.6098,272.3159,272.1241,271.6591,271.1881,272.502,272.5655,273.7534,272.6125,271.6095,271.7662,272.2216,272.3078,271.0691,274.4724,274.2091,273.7956,274.3681,273.074,270.5134,274.4373,270.1401,uA
	80.0,"DRVCC VOLTAGE",9.998774,9.999461,9.998697,9.998774,9.999461,9.998767,9.998774,9.999767,9.998774,10.00007,9.998919,9.998767,9.998162,9.998774,9.998767,9.998774,9.998774,9.999454,9.999461,9.998767,9.998162,9.998767,9.999461,9.998697,9.998774,9.998774,9.999461,9.998774,9.998774,9.998774,9.999454,V
	80.1,"DRVCC HIGH STRESS @DRVCC=10V",0.2315735,0.2337217,0.2348895,0.2345408,0.234127,0.2357181,0.2344277,0.2370839,0.2367351,0.2348047,0.2363204,0.2374421,0.2371876,0.2360951,0.237903,0.2334577,0.237508,0.2349546,0.2364335,0.2376023,0.2360951,0.235096,0.2358972,0.23925,0.239184,0.2373384,0.2372064,0.2385902,0.2357275,0.2352751,0.2354447,mA
	80.2,"DRVCC LOW STRESS @DRVCC=10V",0.2397778,0.2373666,0.2424237,0.2427253,0.2419618,0.2432437,0.2426405,0.2414349,0.239627,0.2422257,0.2391086,0.2409174,0.2423483,0.2417082,0.2443078,0.2437706,0.2437706,0.2435821,0.244468,0.2437047,0.2416234,0.2443078,0.2455783,0.2409174,0.2413218,0.2423483,0.2426405,0.2456538,0.2443078,0.2433276,0.2421881,mA
	90.0,"FB @ 9.3V STRESS",-0.4338409,-0.4243071,-0.4796644,-0.4534466,-0.5344259,-0.439146,-0.4100065,-0.429074,-0.5219129,-0.390939,-0.4266906,-0.5481306,-0.5272756,-0.4076231,-0.5558768,-0.4915816,-0.4445087,-0.4243071,-0.5052864,-0.3820011,-0.5576644,-0.5576644,-0.4034521,-0.4010686,-0.4701307,-0.390939,-0.5242962,-0.5242962,-0.439146,-0.5385969,-0.4016645,uA
	100.0,"EN @ 9.3V STRESS",-0.4237113,-0.4392036,-0.4338409,-0.5344259,-0.6058714,-0.5963376,-0.4046438,-0.452255,-0.5463431,-0.4201361,-0.4332451,-0.5344259,-0.5100533,-0.4480839,-0.4332451,-0.5487265,-0.4338409,-0.6338767,-0.4100065,-0.5463431,-0.576136,-0.5385969,-0.4153692,-0.477281,-0.4243071,-0.4392036,-0.5952035,-0.4921775,-0.5368093,-0.4838354,-0.4243071,uA
	110.0,"IN @ 15V STRESS",-0.1117589,-0.05520248,-0.09388082,-0.2147987,-0.140364,-0.09388082,-0.06885137,-0.05520248,-0.05579842,-0.09328488,-0.07361888,-0.1099712,-0.140364,-0.05574077,-0.06527574,-0.05520248,-0.1171224,-0.07361888,-0.0635456,-0.04983904,-0.07183109,-0.1236777,-0.04447559,-0.0980524,-0.05996998,-0.07302293,-0.06467979,-0.04328371,-0.121294,-0.07361888,-0.07898234,uA
	110.1,"IN @ -15V STRESS",-0.2076474,-0.1314249,-0.1766586,-0.1975164,-0.2076474,-0.1695073,-0.1933449,-0.1671236,-0.1766586,-0.1742748,-0.1385762,-0.2165864,-0.2314273,-0.1879814,-0.1427477,-0.1260615,-0.1742748,-0.1701033,-0.1385762,-0.2124149,-0.1641439,-0.2361947,-0.2076474,-0.1576462,-0.1689114,-0.1599723,-0.1695073,-0.1605683,-0.2165864,-0.1957286,-0.1361925,uA
	120.0,"RBLANK @ 5V STRESS",131.6438,132.3689,132.5289,132.6984,133.8745,132.802,133.0845,132.8962,132.6984,132.8114,133.4131,132.9997,133.3002,133.1975,133.1033,133.3378,133.0374,132.9997,133.2634,133.2352,133.3011,133.1222,133.4037,133.1316,132.8114,133.1222,133.3387,132.9997,133.2634,133.2719,132.9997,uA
	130.0,"BLANK @ 5V STRESS",-0.02110686,-0.02243702,-0.03291623,-0.04385312,-0.03971484,-0.02376718,-0.02022008,-0.04725242,-0.02110686,-0.02125465,-0.03779349,-0.03912365,-0.03439419,-0.03321182,-0.02228922,-0.02715219,-0.02125465,-0.02347159,-0.02081127,-0.05212968,-0.04207957,-0.04488769,-0.03661112,-0.05625367,-0.02125465,-0.03321182,-0.02361939,-0.02243702,-0.04001043,-0.03838467,-0.0444443,uA
	150.0,"IVIN; POST-STRESS @VIN=7.5V",244.4147,246.2105,246.9095,247.3232,247.549,247.6694,247.7719,247.8096,247.9984,248.2357,247.949,248.1674,248.4107,248.2026,248.5304,248.2727,248.519,248.431,248.055,248.41,248.0999,248.6925,248.4263,248.6256,248.662,248.688,248.776,248.9348,248.8128,248.5521,248.8371,uA
	150.1,"IVIN; POST-STRESS @VIN=25V",256.3167,257.5116,259.2774,257.7517,258.3559,258.8399,259.4199,260.001,259.1445,259.7542,258.5773,259.0553,258.4439,259.4122,259.5065,259.3165,259.4455,259.6835,260.2332,259.8972,258.9896,259.3014,259.1019,259.3233,260.5203,260.0544,260.1512,259.6907,258.5538,261.2339,259.7803,uA
	160.0,"IVIN; SWITCHING @VIN=7.5V",3.203701,3.195459,3.206144,3.203968,3.207171,3.193286,3.216937,3.21835,3.204617,3.213123,3.20038,3.213887,3.214956,3.206144,3.207668,3.202479,3.195497,3.211253,3.21835,3.191645,3.2132,3.2198,3.198814,3.212665,3.199387,3.210222,3.200341,3.21591,3.20519,3.209004,3.217472,mA
	180.0,"IDRVCC; SWITHCING @DRVCC=9V",5.160771,5.163063,5.174357,5.158175,5.164888,5.157031,5.156726,5.152378,5.163063,5.170461,5.16947,5.169775,5.173515,5.15154,5.171914,5.169164,5.152151,5.170692,5.159475,5.170692,5.153295,5.16405,5.155817,5.161308,5.167943,5.160697,5.163063,5.150929,5.15154,5.167712,5.167943,mA
	185.0,"IDRVCC; MAX OUT CURRENT",117.5978,118.9551,116.6807,118.1452,117.7767,117.0051,118.273,118.4375,117.0338,116.6616,117.772,117.5299,119.3236,118.4124,119.493,116.6652,119.5598,116.6426,116.6522,118.8549,117.617,119.4894,118.8024,119.332,118.1679,119.4286,118.1894,116.7905,119.5276,119.1078,117.1482,mA
	190.0,"VFB @VIN=7.5V",1.222923,1.222816,1.222754,1.222733,1.222772,1.222748,1.222703,1.222743,1.222686,1.222687,1.222724,1.222662,1.222693,1.222713,1.222712,1.222697,1.222672,1.222679,1.222699,1.22268,1.222724,1.22267,1.222689,1.222672,1.222629,1.222695,1.222678,1.222651,1.222683,1.22268,1.222653,V
	200.0,"DRVCC @VIN=7.5V",5.258357,5.257746,5.257288,5.257593,5.257593,5.25725,5.257212,5.25725,5.257823,5.25725,5.257135,5.256791,5.256791,5.25725,5.257288,5.257135,5.25725,5.257135,5.257326,5.25725,5.257593,5.25725,5.256944,5.257212,5.257135,5.256791,5.257135,5.256944,5.25725,5.257212,5.25725,V
